condition,step,hypothesis,expected_action,excess_cm,base,belief
s00_off,0,d(item_2),move_to(?target=item_2),11.1,0.200222,0.1891
s00_off,0,d(item_3),move_to(?target=item_3),0.0,0.200222,0.2002
s00_off,0,d(item_4),move_to(?target=item_4),6.5,0.200222,0.1937
s00_off,0,d(item_6),move_to(?target=item_6),0.8,0.200222,0.1995
s00_off,0,d(item_7),move_to(?target=item_7),2.7,0.200222,0.1975
s00_off,1,d(item_2),move_to(?target=item_2),23.3,0.204893,0.1811
s00_off,1,d(item_3),move_to(?target=item_3),-0.0,0.204893,0.2049
s00_off,1,d(item_4),move_to(?target=item_4),13.5,0.204893,0.1911
s00_off,1,d(item_6),move_to(?target=item_6),1.6,0.204893,0.2033
s00_off,1,d(item_7),move_to(?target=item_7),5.6,0.204893,0.1991
s00_off,2,d(item_2),move_to(?target=item_2),36.8,0.21015,0.1719
s00_off,2,d(item_3),move_to(?target=item_3),0.0,0.21015,0.2102
s00_off,2,d(item_4),move_to(?target=item_4),20.9,0.21015,0.1882
s00_off,2,d(item_6),move_to(?target=item_6),2.4,0.21015,0.2076
s00_off,2,d(item_7),move_to(?target=item_7),8.7,0.21015,0.2011
s00_off,3,d(item_2),move_to(?target=item_2),51.5,0.216052,0.1616
s00_off,3,d(item_3),move_to(?target=item_3),-0.0,0.216052,0.2161
s00_off,3,d(item_4),move_to(?target=item_4),28.9,0.216052,0.185
s00_off,3,d(item_6),move_to(?target=item_6),3.3,0.216052,0.2125
s00_off,3,d(item_7),move_to(?target=item_7),11.9,0.216052,0.2033
s00_off,4,d(item_2),move_to(?target=item_2),67.6,0.222644,0.1501
s00_off,4,d(item_3),move_to(?target=item_3),0.0,0.222644,0.2226
s00_off,4,d(item_4),move_to(?target=item_4),37.5,0.222644,0.1814
s00_off,4,d(item_6),move_to(?target=item_6),4.3,0.222644,0.2179
s00_off,4,d(item_7),move_to(?target=item_7),15.2,0.222644,0.2057
s00_off,5,d(item_2),move_to(?target=item_2),85.1,0.229953,0.1376
s00_off,5,d(item_3),move_to(?target=item_3),0.0,0.229953,0.23
s00_off,5,d(item_4),move_to(?target=item_4),46.7,0.229953,0.1772
s00_off,5,d(item_6),move_to(?target=item_6),5.3,0.229953,0.2239
s00_off,5,d(item_7),move_to(?target=item_7),18.8,0.229953,0.2084
s00_off,6,d(item_2),move_to(?target=item_2),104.2,0.237984,0.1242
s00_off,6,d(item_3),move_to(?target=item_3),0.0,0.237984,0.238
s00_off,6,d(item_4),move_to(?target=item_4),56.6,0.237984,0.1724
s00_off,6,d(item_6),move_to(?target=item_6),6.3,0.237984,0.2304
s00_off,6,d(item_7),move_to(?target=item_7),22.6,0.237984,0.2112
s00_off,7,d(item_2),move_to(?target=item_2),124.7,0.247109,0.1104
s00_off,7,d(item_3),move_to(?target=item_3),0.0,0.247109,0.2471
s00_off,7,d(item_4),move_to(?target=item_4),67.2,0.247109,0.167
s00_off,7,d(item_6),move_to(?target=item_6),7.5,0.247109,0.2379
s00_off,7,d(item_7),move_to(?target=item_7),27.9,0.247109,0.2129
s00_off,8,d(item_2),move_to(?target=item_2),146.6,0.257062,0.0964
s00_off,8,d(item_3),move_to(?target=item_3),-0.0,0.257062,0.2571
s00_off,8,d(item_4),move_to(?target=item_4),78.6,0.257062,0.1609
s00_off,8,d(item_6),move_to(?target=item_6),8.7,0.257062,0.2459
s00_off,8,d(item_7),move_to(?target=item_7),33.8,0.257062,0.214
s00_off,9,d(item_2),move_to(?target=item_2),170.1,0.267879,0.0827
s00_off,9,d(item_3),move_to(?target=item_3),0.0,0.267879,0.2679
s00_off,9,d(item_4),move_to(?target=item_4),90.8,0.267879,0.1539
s00_off,9,d(item_6),move_to(?target=item_6),9.9,0.267879,0.2546
s00_off,9,d(item_7),move_to(?target=item_7),40.7,0.267879,0.2141
s00_off,10,d(item_2),move_to(?target=item_2),194.9,0.279571,0.0697
s00_off,10,d(item_3),move_to(?target=item_3),0.0,0.279571,0.2796
s00_off,10,d(item_4),move_to(?target=item_4),103.9,0.279571,0.1461
s00_off,10,d(item_6),move_to(?target=item_6),11.3,0.279571,0.2638
s00_off,10,d(item_7),move_to(?target=item_7),48.7,0.279571,0.2128
s00_off,11,d(item_2),move_to(?target=item_2),221.0,0.292172,0.0577
s00_off,11,d(item_3),move_to(?target=item_3),0.0,0.292172,0.2922
s00_off,11,d(item_4),move_to(?target=item_4),118.0,0.292172,0.1374
s00_off,11,d(item_6),move_to(?target=item_6),12.7,0.292172,0.2736
s00_off,11,d(item_7),move_to(?target=item_7),57.9,0.292172,0.2098
s00_off,12,d(item_2),move_to(?target=item_2),248.4,0.305749,0.0471
s00_off,12,d(item_3),move_to(?target=item_3),0.0,0.305749,0.3057
s00_off,12,d(item_4),move_to(?target=item_4),133.0,0.305749,0.1279
s00_off,12,d(item_6),move_to(?target=item_6),14.2,0.305749,0.284
s00_off,12,d(item_7),move_to(?target=item_7),68.7,0.305749,0.2047
s00_off,13,d(item_2),move_to(?target=item_2),277.0,0.320405,0.0378
s00_off,13,d(item_3),move_to(?target=item_3),0.0,0.320405,0.3204
s00_off,13,d(item_4),move_to(?target=item_4),149.0,0.320405,0.1179
s00_off,13,d(item_6),move_to(?target=item_6),15.9,0.320405,0.295
s00_off,13,d(item_7),move_to(?target=item_7),81.3,0.320405,0.1969
s00_off,14,d(item_2),move_to(?target=item_2),306.6,0.33626,0.03
s00_off,14,d(item_3),move_to(?target=item_3),0.0,0.33626,0.3363
s00_off,14,d(item_4),move_to(?target=item_4),166.0,0.33626,0.1074
s00_off,14,d(item_6),move_to(?target=item_6),17.7,0.33626,0.3067
s00_off,14,d(item_7),move_to(?target=item_7),96.1,0.33626,0.1861
s00_off,15,d(item_2),move_to(?target=item_2),337.1,0.353418,0.0235
s00_off,15,d(item_3),move_to(?target=item_3),-0.0,0.353418,0.3534
s00_off,15,d(item_4),move_to(?target=item_4),184.2,0.353418,0.0967
s00_off,15,d(item_6),move_to(?target=item_6),19.5,0.353418,0.319
s00_off,15,d(item_7),move_to(?target=item_7),113.4,0.353418,0.172
s00_off,16,d(item_2),move_to(?target=item_2),368.5,0.371905,0.0182
s00_off,16,d(item_3),move_to(?target=item_3),0.0,0.371905,0.3719
s00_off,16,d(item_4),move_to(?target=item_4),203.4,0.371905,0.0861
s00_off,16,d(item_6),move_to(?target=item_6),21.6,0.371905,0.3319
s00_off,16,d(item_7),move_to(?target=item_7),133.7,0.371905,0.1547
s00_off,17,d(item_2),move_to(?target=item_2),400.7,0.39158,0.014
s00_off,17,d(item_3),move_to(?target=item_3),-0.0,0.39158,0.3916
s00_off,17,d(item_4),move_to(?target=item_4),223.7,0.39158,0.0756
s00_off,17,d(item_6),move_to(?target=item_6),23.8,0.39158,0.3452
s00_off,17,d(item_7),move_to(?target=item_7),157.3,0.39158,0.1345
s00_off,18,d(item_2),move_to(?target=item_2),433.6,0.412063,0.0106
