condition,step,object,human_action,human_micro
s40_off,184,coffee_machine_0,wait_at,stand
s40_off,185,coffee_machine_0,wait_at,
s40_off,186,coffee_machine_0,,
s40_off,207,wander_0,wait_at,stand
s40_off,208,wander_0,wait_at,
s40_off,209,wander_0,,
s40_off,228,wander_1,wait_at,stand
s40_off,229,wander_1,wait_at,
s40_off,230,wander_1,,
s40_on,184,coffee_machine_0,wait_at,stand
s40_on,185,coffee_machine_0,wait_at,
s40_on,186,coffee_machine_0,,
s40_on,207,wander_0,wait_at,stand
s40_on,208,wander_0,wait_at,
s40_on,209,wander_0,,
s40_on,228,wander_1,wait_at,stand
s40_on,229,wander_1,wait_at,
s40_on,230,wander_1,,
