condition,segment,human_task,human_action,first_step,last_step,ir_ticks,most_likely_first,conf_first,most_likely_last,conf_last,most_likely_at_max,conf_max,step_of_max,ticks_at_or_above_theta,deliver_item_above_theta,p_coffee_max,p_unknown_min,p_unknown_max,winner_sequence
s40_on,seg1_deliver_item_3,item_3,move_to,0,59,60,item_3,0.3847,item_3,0.4609,item_3,0.4609,55,0,-,0.3797,0.0576,0.0996,item_3@0
s40_on,seg1_deliver_item_3,item_3,pick_up,60,61,2,coffee_break,0.5494,coffee_break,0.5494,coffee_break,0.5494,60,0,-,0.5494,0.0834,0.0834,coffee_break@60
s40_on,seg1_deliver_item_3,item_3,move_to,62,114,53,coffee_break,0.5508,item_3,0.6956,item_3,0.6956,65,0,-,0.5508,0.0217,0.0242,coffee_break@62 > item_3@65
s40_on,seg1_deliver_item_3,item_3,place,115,116,2,item_3,0.6942,item_3,0.6942,item_3,0.6942,115,0,-,0.2473,0.0217,0.0217,item_3@115
s40_on,seg2_coffee,coffee_break,-,117,117,1,item_3,0.6942,item_3,0.6942,item_3,0.6942,117,0,-,0.2473,0.0217,0.0217,item_3@117
s40_on,seg2_coffee,coffee_break,move_to,118,154,37,coffee_break,0.5499,coffee_break,0.8143,coffee_break,0.8143,142,13,-,0.8143,0.0089,0.0121,coffee_break@118
s40_on,seg2_coffee,coffee_break,wait_at,155,185,31,coffee_break,0.8143,coffee_break,0.8143,coffee_break,0.8143,155,31,-,0.8143,0.0089,0.0089,coffee_break@155
s40_on,seg3a_toward_shelf_6,ac_activation,-,186,186,1,coffee_break,0.8143,coffee_break,0.8143,coffee_break,0.8143,186,1,-,0.8143,0.0089,0.0089,coffee_break@186
s40_on,seg3a_toward_shelf_6,ac_activation,move_to,187,206,20,coffee_break,0.7799,coffee_break,0.6325,coffee_break,0.7799,187,1,-,0.7799,0.0045,0.0073,coffee_break@187
s40_on,seg3a_toward_shelf_6,ac_activation,wait_at,207,208,2,coffee_break,0.6325,coffee_break,0.6325,coffee_break,0.6325,207,0,-,0.6325,0.0073,0.0073,coffee_break@207
s40_on,seg3b_turn_away,ac_activation,-,209,209,1,coffee_break,0.6325,coffee_break,0.6325,coffee_break,0.6325,209,0,-,0.6325,0.0073,0.0073,coffee_break@209
s40_on,seg3b_turn_away,ac_activation,move_to,210,227,18,coffee_break,0.8869,coffee_break,0.8869,coffee_break,0.8869,210,18,-,0.8869,0.0036,0.0036,coffee_break@210
s40_on,seg3b_turn_away,ac_activation,wait_at,228,229,2,coffee_break,0.8869,coffee_break,0.8869,coffee_break,0.8869,228,2,-,0.8869,0.0036,0.0036,coffee_break@228
s40_on,seg4_deliver_item_6,item_6,-,230,230,1,coffee_break,0.8869,coffee_break,0.8869,coffee_break,0.8869,230,1,-,0.8869,0.0036,0.0036,coffee_break@230
s40_on,seg4_deliver_item_6,item_6,move_to,231,271,41,coffee_break,0.8146,coffee_break,0.8146,coffee_break,0.8146,231,41,-,0.8146,0.0022,0.0022,coffee_break@231
s40_on,seg4_deliver_item_6,item_6,pick_up,272,273,2,coffee_break,0.9618,coffee_break,0.9618,coffee_break,0.9618,272,2,-,0.9618,0.0026,0.0026,coffee_break@272
s40_on,seg4_deliver_item_6,item_6,move_to,274,330,57,coffee_break,0.9595,coffee_break,0.9493,coffee_break,0.9595,274,57,-,0.9595,0.001,0.001,coffee_break@274
s40_on,seg4_deliver_item_6,item_6,place,331,332,2,coffee_break,0.9031,coffee_break,0.9031,coffee_break,0.9031,331,2,-,0.9031,0.001,0.001,coffee_break@331
s40_on,done,-,-,333,378,46,coffee_break,0.9031,coffee_break,0.9031,coffee_break,0.9031,333,46,-,0.9031,0.001,0.001,coffee_break@333
